subject_id,time_elapsed,gender,age,understood,comments
5743c964eb8ed0000ff798ac,1133650,male,32,yes,One of the questions had the same options twice. I forgot the names though.
58a63a64ea3d11000170e1cc,944131,male,35,yes,            
59b1986ac05bb50001eb3a5f,1080380,male,29,yes,            no
5cfb6018bdfd56001820466f,600790,male,25,yes,            
5d8d5cc4c83a770013213a84,470595,male,20,yes,            
5daa9e16546237001681d0f1,1616301,male,22,yes,            
5e507b71b0c66e0d228c0af7,663157,female,29,yes,            
5e52d53f158f1d2ead6fcf06,505434,female,23,yes,            
5efbc378758e3d16577886e1,744944,male,55,yes,            
5f1f31b2a78ed40ea1d5e843,684597,male,21,yes,            
5f3fecd2bc9bac0b4ca93d30,1201794,female,27,yes,"One of the questions had the same options for both choices, it was the one with Caroline and Bella, but both options were about Caroline.    "
5fb32e5b87f38fa6d189636a,462539,female,31,yes,            
603f0f515ed1c20104459904,711574,male,36,yes,"none
            "
605d7729ce17bf97fbf2d781,2992500,female,30,yes,            N/A
60ef02ab65677c7c8803c120,564366,female,21,yes,            
60f1b59d5e90dbffe5dcc97d,542439,female,48,yes,The Caroline and Bella question listed the same answer.
60fda3957b84fb03808c70f0,343609,female,25,yes,            
60fdd69df07af0302d9ce2de,1028417,male,23,yes,            
60fe0a2c24c7fad349551d47,565608,nonconforming,25,yes,"I don't know if it was intentional, but one of the prompts with ""Caroline"" had only Caroline for either response."
610699b882c64e5ef5b18567,921907,female,20,yes,            
610813ebfdb1b78559fb1ff9,642944,male,52,yes,            
6154d5f08b55fcd598f2b912,2836154,male,52,yes,            None
616c5468a67584b6f6f57443,681669,female,38,yes,            
62e073721cd1f5f6cff50910,628056,female,25,yes,            
63030263af6dd6dd82095af0,623975,male,28,yes,            
6316b3bb5428889a3089cf98,1076872,male,37,yes,            
63a9e5cb1dd0a02fffe7b8b4,977720,female,55,yes,"            On the 2nd question, one of the answers said that both of the people woke up early and slept in which doesn't make any sense, they either did one or the other - also in the question about a person named Caroline, both of the answers were the same"
63e551100b466874066088d1,1156174,male,19,yes,            
63ed1619694e2efdb6d975d3,699981,male,28,yes,            
6450a443a211f1a606dff841,1223303,female,51,yes,            
