subject_id,story,relationship,repeating,alternating,none,understood,pass_attention
5589cd58fdf99b18be3203af,gifts,less,5,6,1,yes,True
5589cd58fdf99b18be3203af,meeting location,more,6,2,0,yes,True
5589cd58fdf99b18be3203af,weekend,less,5,2,4,yes,True
5589cd58fdf99b18be3203af,concerts,more,2,6,1,yes,True
5589cd58fdf99b18be3203af,police,more,5,2,0,yes,True
5589cd58fdf99b18be3203af,group project,more,6,0,0,yes,True
5589cd58fdf99b18be3203af,housemates,less,5,2,3,yes,True
5589cd58fdf99b18be3203af,conversation,more,4,5,1,yes,True
5589cd58fdf99b18be3203af,fundraising,less,4,6,2,yes,True
5589cd58fdf99b18be3203af,meeting prep,more,5,4,1,yes,True
5589cd58fdf99b18be3203af,restaurant,equal,0,6,0,yes,True
5589cd58fdf99b18be3203af,architects,equal,1,6,1,yes,True
5589cd58fdf99b18be3203af,family meals,less,5,6,0,yes,True
5589cd58fdf99b18be3203af,groceries,equal,5,6,,yes,True
5589cd58fdf99b18be3203af,babysitting,equal,5,6,0,yes,True
5589cd58fdf99b18be3203af,scheduling,equal,3,4,0,yes,True
5589cd58fdf99b18be3203af,feedback,equal,6,6,0,yes,True
5589cd58fdf99b18be3203af,coffee,less,5,6,0,yes,True
56d0f57421cd29000a9737e4,feedback,more,5,4,1,yes,True
56d0f57421cd29000a9737e4,meeting prep,more,5,3,1,yes,True
56d0f57421cd29000a9737e4,restaurant,equal,2,5,1,yes,True
56d0f57421cd29000a9737e4,groceries,more,3,4,1,yes,True
56d0f57421cd29000a9737e4,conversation,less,5,1,1,yes,True
56d0f57421cd29000a9737e4,group project,more,5,1,1,yes,True
56d0f57421cd29000a9737e4,babysitting,equal,3,5,1,yes,True
56d0f57421cd29000a9737e4,housemates,less,4,2,1,yes,True
56d0f57421cd29000a9737e4,gifts,less,2,5,1,yes,True
56d0f57421cd29000a9737e4,fundraising,equal,4,3,1,yes,True
56d0f57421cd29000a9737e4,weekend,equal,2,5,1,yes,True
56d0f57421cd29000a9737e4,concerts,less,2,5,1,yes,True
56d0f57421cd29000a9737e4,family meals,less,3,4,0,yes,True
56d0f57421cd29000a9737e4,architects,equal,4,4,1,yes,True
56d0f57421cd29000a9737e4,meeting location,more,2,5,1,yes,True
56d0f57421cd29000a9737e4,police,less,4,2,1,yes,True
56d0f57421cd29000a9737e4,scheduling,more,2,5,1,yes,True
56d0f57421cd29000a9737e4,coffee,equal,3,4,1,yes,True
5a8352feae9a0b0001a9da8f,meeting location,less,4,2,3,yes,True
5a8352feae9a0b0001a9da8f,groceries,more,3,4,3,yes,True
5a8352feae9a0b0001a9da8f,babysitting,equal,4,4,3,yes,True
5a8352feae9a0b0001a9da8f,gifts,equal,2,3,3,yes,True
5a8352feae9a0b0001a9da8f,meeting prep,more,4,2,3,yes,True
5a8352feae9a0b0001a9da8f,police,less,3,2,2,yes,True
5a8352feae9a0b0001a9da8f,group project,more,5,1,0,yes,True
5a8352feae9a0b0001a9da8f,coffee,equal,3,4,2,yes,True
5a8352feae9a0b0001a9da8f,weekend,more,1,2,0,yes,True
5a8352feae9a0b0001a9da8f,concerts,less,3,3,3,yes,True
5a8352feae9a0b0001a9da8f,architects,less,5,2,0,yes,True
5a8352feae9a0b0001a9da8f,family meals,less,4,3,1,yes,True
5a8352feae9a0b0001a9da8f,restaurant,more,3,4,4,yes,True
5a8352feae9a0b0001a9da8f,feedback,less,5,5,1,yes,True
5a8352feae9a0b0001a9da8f,fundraising,equal,4,4,1,yes,True
5a8352feae9a0b0001a9da8f,conversation,equal,5,2,1,yes,True
5a8352feae9a0b0001a9da8f,scheduling,more,2,4,0,yes,True
5a8352feae9a0b0001a9da8f,housemates,equal,3,4,0,yes,True
5acc2d21436f550001003111,feedback,equal,4,4,2,yes,True
5acc2d21436f550001003111,weekend,less,3,3,3,yes,True
5acc2d21436f550001003111,housemates,more,3,3,3,yes,True
5acc2d21436f550001003111,police,less,4,2,3,yes,True
