subject_id,story,social_interaction,more,equal,less,understood,pass_attention
55a430ddfdf99b02ff6caf22,conversation,precedent,2,3,4,yes,True
55a430ddfdf99b02ff6caf22,groceries,no_interaction,3,5,3,yes,True
55a430ddfdf99b02ff6caf22,restaurant,reciprocity,3,5,3,yes,True
55a430ddfdf99b02ff6caf22,coffee,reciprocity,3,5,3,yes,True
55a430ddfdf99b02ff6caf22,group project,no_interaction,3,5,3,yes,True
55a430ddfdf99b02ff6caf22,meeting location,reciprocity,3,4,3,yes,True
55a430ddfdf99b02ff6caf22,feedback,precedent,4,4,3,yes,True
55a430ddfdf99b02ff6caf22,police,precedent,2,3,4,yes,True
55a430ddfdf99b02ff6caf22,scheduling,no_interaction,2,3,4,yes,True
55a430ddfdf99b02ff6caf22,housemates,no_interaction,3,5,3,yes,True
55a430ddfdf99b02ff6caf22,babysitting,precedent,2,3,4,yes,True
55a430ddfdf99b02ff6caf22,family meals,precedent,1,2,4,yes,True
55a430ddfdf99b02ff6caf22,gifts,reciprocity,3,5,3,yes,True
55a430ddfdf99b02ff6caf22,architects,precedent,3,4,3,yes,True
55a430ddfdf99b02ff6caf22,concerts,no_interaction,3,5,3,yes,True
55a430ddfdf99b02ff6caf22,meeting prep,reciprocity,2,4,2,yes,True
55a430ddfdf99b02ff6caf22,weekend,reciprocity,2,3,4,yes,True
55a430ddfdf99b02ff6caf22,fundraising,no_interaction,2,5,2,yes,True
55a5f1e8fdf99b28b5340d01,meeting location,precedent,0,2,5,yes,True
55a5f1e8fdf99b28b5340d01,coffee,no_interaction,3,4,3,yes,True
55a5f1e8fdf99b28b5340d01,groceries,reciprocity,2,6,2,yes,True
55a5f1e8fdf99b28b5340d01,family meals,precedent,2,2,5,yes,True
55a5f1e8fdf99b28b5340d01,group project,reciprocity,1,6,1,yes,True
55a5f1e8fdf99b28b5340d01,concerts,precedent,5,2,1,yes,True
55a5f1e8fdf99b28b5340d01,conversation,no_interaction,1,5,1,yes,True
55a5f1e8fdf99b28b5340d01,feedback,precedent,5,4,1,yes,True
55a5f1e8fdf99b28b5340d01,police,precedent,0,1,6,yes,True
55a5f1e8fdf99b28b5340d01,fundraising,no_interaction,0,6,0,yes,True
55a5f1e8fdf99b28b5340d01,babysitting,no_interaction,2,4,2,yes,True
55a5f1e8fdf99b28b5340d01,gifts,no_interaction,1,5,1,yes,True
55a5f1e8fdf99b28b5340d01,architects,precedent,4,4,2,yes,True
55a5f1e8fdf99b28b5340d01,meeting prep,reciprocity,1,5,1,yes,True
55a5f1e8fdf99b28b5340d01,scheduling,reciprocity,1,6,1,yes,True
55a5f1e8fdf99b28b5340d01,weekend,reciprocity,1,5,1,yes,True
55a5f1e8fdf99b28b5340d01,housemates,no_interaction,0,6,0,yes,True
55a5f1e8fdf99b28b5340d01,restaurant,reciprocity,1,5,1,yes,True
