"subject_id","story","social_interaction","relationship","likert_rating","normalized_likert_rating"
"850b781d0f6eeb84a6108569a2b4cf5a","housemates","no_interaction","symmetric",5,0.384615384615385
"850b781d0f6eeb84a6108569a2b4cf5a","housemates","no_interaction","none",5,0.384615384615385
"850b781d0f6eeb84a6108569a2b4cf5a","family meals","precedent","asymmetric",6,0.461538461538462
"850b781d0f6eeb84a6108569a2b4cf5a","family meals","precedent","symmetric",5,0.384615384615385
"850b781d0f6eeb84a6108569a2b4cf5a","family meals","precedent","none",2,0.153846153846154
"850b781d0f6eeb84a6108569a2b4cf5a","weekend","reciprocity","asymmetric",3,0.272727272727273
"850b781d0f6eeb84a6108569a2b4cf5a","weekend","reciprocity","symmetric",7,0.636363636363636
"850b781d0f6eeb84a6108569a2b4cf5a","weekend","reciprocity","none",1,0.0909090909090909
"850b781d0f6eeb84a6108569a2b4cf5a","meeting location","reciprocity","asymmetric",3,0.272727272727273
"850b781d0f6eeb84a6108569a2b4cf5a","meeting location","reciprocity","symmetric",7,0.636363636363636
"850b781d0f6eeb84a6108569a2b4cf5a","meeting location","reciprocity","none",1,0.0909090909090909
"850b781d0f6eeb84a6108569a2b4cf5a","gifts","reciprocity","asymmetric",2,0.181818181818182
"850b781d0f6eeb84a6108569a2b4cf5a","gifts","reciprocity","symmetric",6,0.545454545454545
"850b781d0f6eeb84a6108569a2b4cf5a","gifts","reciprocity","none",3,0.272727272727273
"850b781d0f6eeb84a6108569a2b4cf5a","coffee","precedent","asymmetric",6,0.545454545454545
"850b781d0f6eeb84a6108569a2b4cf5a","coffee","precedent","symmetric",3,0.272727272727273
"850b781d0f6eeb84a6108569a2b4cf5a","coffee","precedent","none",2,0.181818181818182
"850b781d0f6eeb84a6108569a2b4cf5a","group project","no_interaction","asymmetric",2,0.181818181818182
"850b781d0f6eeb84a6108569a2b4cf5a","group project","no_interaction","symmetric",2,0.181818181818182
"850b781d0f6eeb84a6108569a2b4cf5a","group project","no_interaction","none",7,0.636363636363636
"850b781d0f6eeb84a6108569a2b4cf5a","scheduling","no_interaction","asymmetric",1,0.111111111111111
