subject_id,story,social_interaction,more,equal,less,understood,pass_attention
f2ef57c3f9c16cb0d0e0d280585a41da,conversation,precedent,2,3,4,yes,TRUE
f2ef57c3f9c16cb0d0e0d280585a41da,groceries,no_interaction,3,5,3,yes,TRUE
f2ef57c3f9c16cb0d0e0d280585a41da,restaurant,reciprocity,3,5,3,yes,TRUE
f2ef57c3f9c16cb0d0e0d280585a41da,coffee,reciprocity,3,5,3,yes,TRUE
f2ef57c3f9c16cb0d0e0d280585a41da,group project,no_interaction,3,5,3,yes,TRUE
f2ef57c3f9c16cb0d0e0d280585a41da,meeting location,reciprocity,3,4,3,yes,TRUE
f2ef57c3f9c16cb0d0e0d280585a41da,feedback,precedent,4,4,3,yes,TRUE
f2ef57c3f9c16cb0d0e0d280585a41da,police,precedent,2,3,4,yes,TRUE
f2ef57c3f9c16cb0d0e0d280585a41da,scheduling,no_interaction,2,3,4,yes,TRUE
f2ef57c3f9c16cb0d0e0d280585a41da,housemates,no_interaction,3,5,3,yes,TRUE
f2ef57c3f9c16cb0d0e0d280585a41da,babysitting,precedent,2,3,4,yes,TRUE
f2ef57c3f9c16cb0d0e0d280585a41da,family meals,precedent,1,2,4,yes,TRUE
f2ef57c3f9c16cb0d0e0d280585a41da,gifts,reciprocity,3,5,3,yes,TRUE
f2ef57c3f9c16cb0d0e0d280585a41da,architects,precedent,3,4,3,yes,TRUE
f2ef57c3f9c16cb0d0e0d280585a41da,concerts,no_interaction,3,5,3,yes,TRUE
f2ef57c3f9c16cb0d0e0d280585a41da,meeting prep,reciprocity,2,4,2,yes,TRUE
f2ef57c3f9c16cb0d0e0d280585a41da,weekend,reciprocity,2,3,4,yes,TRUE
f2ef57c3f9c16cb0d0e0d280585a41da,fundraising,no_interaction,2,5,2,yes,TRUE
461e8162cda1b8708f743138818b372a,meeting location,precedent,0,2,5,yes,TRUE
461e8162cda1b8708f743138818b372a,coffee,no_interaction,3,4,3,yes,TRUE
461e8162cda1b8708f743138818b372a,groceries,reciprocity,2,6,2,yes,TRUE
461e8162cda1b8708f743138818b372a,family meals,precedent,2,2,5,yes,TRUE
461e8162cda1b8708f743138818b372a,group project,reciprocity,1,6,1,yes,TRUE
461e8162cda1b8708f743138818b372a,concerts,precedent,5,2,1,yes,TRUE
461e8162cda1b8708f743138818b372a,conversation,no_interaction,1,5,1,yes,TRUE
461e8162cda1b8708f743138818b372a,feedback,precedent,5,4,1,yes,TRUE
461e8162cda1b8708f743138818b372a,police,precedent,0,1,6,yes,TRUE
461e8162cda1b8708f743138818b372a,fundraising,no_interaction,0,6,0,yes,TRUE
461e8162cda1b8708f743138818b372a,babysitting,no_interaction,2,4,2,yes,TRUE
461e8162cda1b8708f743138818b372a,gifts,no_interaction,1,5,1,yes,TRUE
461e8162cda1b8708f743138818b372a,architects,precedent,4,4,2,yes,TRUE
461e8162cda1b8708f743138818b372a,meeting prep,reciprocity,1,5,1,yes,TRUE
461e8162cda1b8708f743138818b372a,scheduling,reciprocity,1,6,1,yes,TRUE
461e8162cda1b8708f743138818b372a,weekend,reciprocity,1,5,1,yes,TRUE
461e8162cda1b8708f743138818b372a,housemates,no_interaction,0,6,0,yes,TRUE
461e8162cda1b8708f743138818b372a,restaurant,reciprocity,1,5,1,yes,TRUE
2ec7dc6272e27ba957b43e6082240645,coffee,no_interaction,2,5,2,yes,TRUE
2ec7dc6272e27ba957b43e6082240645,gifts,no_interaction,2,4,2,yes,TRUE
2ec7dc6272e27ba957b43e6082240645,concerts,precedent,4,2,2,yes,TRUE
2ec7dc6272e27ba957b43e6082240645,conversation,no_interaction,1,5,1,yes,TRUE
2ec7dc6272e27ba957b43e6082240645,fundraising,no_interaction,3,5,3,yes,TRUE
2ec7dc6272e27ba957b43e6082240645,meeting prep,reciprocity,1,5,1,yes,TRUE
2ec7dc6272e27ba957b43e6082240645,meeting location,reciprocity,2,5,2,yes,TRUE
2ec7dc6272e27ba957b43e6082240645,group project,reciprocity,2,5,2,yes,TRUE
2ec7dc6272e27ba957b43e6082240645,restaurant,reciprocity,1,5,1,yes,TRUE
2ec7dc6272e27ba957b43e6082240645,scheduling,no_interaction,3,3,3,yes,TRUE
2ec7dc6272e27ba957b43e6082240645,weekend,reciprocity,1,5,1,yes,TRUE
2ec7dc6272e27ba957b43e6082240645,police,precedent,1,1,5,yes,TRUE
2ec7dc6272e27ba957b43e6082240645,babysitting,no_interaction,1,5,1,yes,TRUE
2ec7dc6272e27ba957b43e6082240645,housemates,precedent,2,2,4,yes,TRUE
2ec7dc6272e27ba957b43e6082240645,feedback,precedent,4,2,2,yes,TRUE
2ec7dc6272e27ba957b43e6082240645,groceries,reciprocity,1,5,1,yes,TRUE
2ec7dc6272e27ba957b43e6082240645,architects,precedent,3,4,3,yes,TRUE
2ec7dc6272e27ba957b43e6082240645,family meals,precedent,4,2,2,yes,TRUE
2881d159e40a329d92f48b32ca38daaf,fundraising,reciprocity,1,5,1,yes,TRUE
2881d159e40a329d92f48b32ca38daaf,meeting location,reciprocity,1,5,1,yes,TRUE
2881d159e40a329d92f48b32ca38daaf,coffee,precedent,4,5,2,yes,TRUE
2881d159e40a329d92f48b32ca38daaf,conversation,no_interaction,3,5,3,yes,TRUE
2881d159e40a329d92f48b32ca38daaf,meeting prep,precedent,5,3,1,yes,TRUE
2881d159e40a329d92f48b32ca38daaf,group project,no_interaction,1,5,1,yes,TRUE
2881d159e40a329d92f48b32ca38daaf,groceries,reciprocity,1,5,1,yes,TRUE
2881d159e40a329d92f48b32ca38daaf,scheduling,no_interaction,1,3,1,yes,TRUE
2881d159e40a329d92f48b32ca38daaf,police,precedent,5,4,1,yes,TRUE
2881d159e40a329d92f48b32ca38daaf,housemates,no_interaction,2,4,2,yes,TRUE
2881d159e40a329d92f48b32ca38daaf,concerts,no_interaction,1,3,1,yes,TRUE
2881d159e40a329d92f48b32ca38daaf,gifts,reciprocity,1,5,1,yes,TRUE
2881d159e40a329d92f48b32ca38daaf,architects,precedent,3,4,2,yes,TRUE
2881d159e40a329d92f48b32ca38daaf,restaurant,reciprocity,1,5,1,yes,TRUE
2881d159e40a329d92f48b32ca38daaf,feedback,precedent,1,4,1,yes,TRUE
2881d159e40a329d92f48b32ca38daaf,babysitting,no_interaction,1,5,1,yes,TRUE
2881d159e40a329d92f48b32ca38daaf,weekend,reciprocity,1,5,1,yes,TRUE
2881d159e40a329d92f48b32ca38daaf,family meals,precedent,5,4,1,yes,TRUE
3c032e04574cd756fabbacbaafd0efab,police,reciprocity,1,5,1,yes,TRUE
3c032e04574cd756fabbacbaafd0efab,fundraising,precedent,5,4,1,yes,TRUE
3c032e04574cd756fabbacbaafd0efab,gifts,reciprocity,1,5,1,yes,TRUE
3c032e04574cd756fabbacbaafd0efab,group project,reciprocity,1,6,1,yes,TRUE
3c032e04574cd756fabbacbaafd0efab,meeting prep,no_interaction,1,5,1,yes,TRUE
3c032e04574cd756fabbacbaafd0efab,coffee,precedent,1,1,5,yes,TRUE
3c032e04574cd756fabbacbaafd0efab,meeting location,reciprocity,1,5,1,yes,TRUE
3c032e04574cd756fabbacbaafd0efab,restaurant,no_interaction,3,3,3,yes,TRUE
3c032e04574cd756fabbacbaafd0efab,conversation,reciprocity,2,5,2,yes,TRUE
3c032e04574cd756fabbacbaafd0efab,family meals,precedent,5,2,1,yes,TRUE
3c032e04574cd756fabbacbaafd0efab,concerts,reciprocity,0,6,0,yes,TRUE
3c032e04574cd756fabbacbaafd0efab,babysitting,no_interaction,3,3,3,yes,TRUE
3c032e04574cd756fabbacbaafd0efab,feedback,no_interaction,3,3,3,yes,TRUE
3c032e04574cd756fabbacbaafd0efab,scheduling,no_interaction,3,3,3,yes,TRUE
3c032e04574cd756fabbacbaafd0efab,weekend,precedent,1,1,5,yes,TRUE
3c032e04574cd756fabbacbaafd0efab,architects,precedent,3,3,3,yes,TRUE
3c032e04574cd756fabbacbaafd0efab,groceries,no_interaction,3,3,3,yes,TRUE
3c032e04574cd756fabbacbaafd0efab,housemates,precedent,3,3,3,yes,TRUE
4557aa987611b5a056dbde803efe6767,weekend,reciprocity,0,6,0,yes,TRUE
4557aa987611b5a056dbde803efe6767,meeting location,precedent,0,0,6,yes,TRUE
4557aa987611b5a056dbde803efe6767,family meals,no_interaction,1,5,1,yes,TRUE
4557aa987611b5a056dbde803efe6767,group project,no_interaction,1,5,1,yes,TRUE
