subject_id,time_elapsed,gender,age,understood,pass_attention,comments
55eb4774748092000baa97ee,752421,female,34,yes,True,        Thank you! I enjoyed being a part of this study it was interesting!    
5664641951fac700118ed23f,346645,female,51,yes,True,            
56f2a5e0ed0cf6000691320b,756117,female,74,yes,True,            
570b7b5fb9b52b00102d96f9,882133,female,35,yes,True,            No comments or issues.  Very well done study.
5920b1f62b529b00013f3214,580377,male,59,yes,True,            
5aa60e39777df2000160738b,328418,female,24,yes,True,            
5ae59f8cc3c3ab00018f7185,736815,female,41,yes,True,            
5bb97572636c800001d60ccf,374077,female,30,yes,True,            
5c1061cc7f73e20001186615,573930,female,30,yes,True,            none
5c284ae48e845b0001fc40aa,1375881,male,38,yes,True,            
5c314de6d5fc960001d2cb93,568841,female,41,yes,True,            
5c3ebb97b3369c0001a94fea,467439,female,38,yes,True,            
5c4c7a1a9446be00017e6b4a,552873,female,47,yes,True,            
5c5c70947676860001fff825,1139605,female,64,yes,True,            
5cd01055c24ebe0001f9fd40,244782,male,28,yes,True,            
5cdee86590d2dc0001f86b3a,496489,male,26,yes,True,            
5cfeb257257d580001a52b12,541230,female,55,yes,True,            
5e387f2c0d70ef099d5e5a4f,357727,male,40,yes,True,            
5e524026d4c2b624506775fb,1433400,male,21,yes,True,            
5e8f53644b34ff22d9b3a1c5,731803,male,40,yes,True,            
5f3d42de03555c0832cbef73,498200,female,21,yes,True,"I really hope you don't think I didn't consider these scenarios carefully, but they all seemed fair, even with the power imbalances. In the case of the one where John volunteered to babysit even though the other guy (Caleb?) had more influence. John volunteered though.      "
5f6fa02d7c95ff54da636b1f,697350,female,67,yes,True,            
5f73f37ed13ce303cc14ae35,542861,male,31,yes,True,            
5f7e0db669012c09e045a2e1,1185723,female,29,yes,True,            I enjoyed being a part of this study!
5fbd371dc57ae80a38ba00c2,765438,male,33,yes,True,            
5fc004cdd7890e102cc48ce6,299576,male,26,yes,False,            No
60075747ef065523535cb244,846072,female,25,yes,True,            None
6045e5cdb5547f7347302e2b,525309,male,34,yes,True,Thank you
605e6f4f35800996a22ac0ab,456968,female,26,yes,True,            
6082249a001f42155fac637d,593656,female,56,yes,True,            
608841496e9715786abdcd13,777899,male,25,yes,True,            
6090578fb2299eacaec32b7a,741892,female,28,yes,True,"I wish we could be more precise with the ratings. Sometimes I felt like what exactly I was rating was unclear. For example, with the poor family giving an expensive gift to the rich family, I don't think it's morally forbidden for the poor family to give the gift, but I do think it would be more morally forbidden for the rich family to accept the gift."
60d21fac25f5942c92570701,471994,nonconforming,39,yes,True,have a nice day
60ddf4b3e6b47e907bd5e6b9,975138,male,39,yes,True,            
60ec6305724af556d6a60903,760934,male,30,yes,True,            It was a fun survey. Really made me think on the moral implications of social situations
6117e4ebcb47c9190fd23caf,268054,female,20,yes,True,            
6152305042a5020fd676cae3,525858,male,63,yes,True,            None
622bf8afc17834de1494a913,444972,female,55,yes,True,            
62be15645f5936a6d2c592cd,1394488,female,23,yes,True,            
62dcee50113c9fdd339d68cc,349602,male,24,yes,True,            
62f975cbc3507ecf77180d00,406686,male,19,yes,True,            
62fc68b4f44b013950b67b11,859840,male,30,yes,True,            None
631fdedf78d4f7b0a6b985ad,221045,male,35,yes,False,            None
63268e60fbfb9c73671faa37,454223,male,20,yes,True,            
6337ea706606e30e6f01592f,704157,male,41,yes,True,            
6349146a3cea617bfd8da767,1085124,male,29,yes,True,            
636168a962acef1f1f1cc4ce,387488,female,38,yes,True,            
63626fe174f7db263a4aa8f2,996354,male,51,yes,True,           None 
639fdcf5efa9e98ed809d0df,921261,female,71`,yes,True,            
63b391ee1f9e599a82666f7b,499123,female,54,yes,True,            
63d085e4194250eac22e2e91,755469,female,59,yes,True," Understanding the terms ""obligatory"" and particularly ""forbidden"" was a bit confusing."
63d0af5d7dafc1dc61832e27,533014,female,56,yes,True,            Fun study
63d18647419ae52f5e141607,447242,male,35,yes,True,            
63d42902a85ae3e7b4920266,229168,male,33,yes,True,            
63d827ba2c8e28e56b6dd957,371150,female,25,yes,True,            
63d87d4ba0b86684507f201d,2531627,abstain,44,yes,True,            
63eab5c48965a7d0b7f2b0ea,550796,male,18,yes,False,            
63fba9e68d9ff349947fece5,1649880,male,70,yes,True,            
6440152a313156f527ef2bd5,464446,male,34,yes,True,            
644dbb471d8a422ca40892c9,621572,female,53,yes,True,            
